QCM || Question 1 :  Virus: || V:  peut infecter des bactéries, des cellules animales ou végétales | V:  sont répliqués par la cellule quʼils parasitent |   ne peut infecter que lʼhomme | V:  nʼont pas les capacités propre de synthèse protéique |   ont une structure procaryote | V: sont des microorganismes parasites |   sont des microorganismes commensales | V:  sont répliqués dans le cytoplasme ou dans le noyau de la cellule hôte |   sont appelé aussi viroïdes |   ont des capacités de synthèse de protéines mais pas de synthèse dʼénergie
QCM || Question 69 :  En ce qui concerne les antibiotiques bêta-lactamines, nous pouvons dire : || V:  la résistance peut être établie par modification de la PLP, mutation ou gain de gènes de résistance (par exemple, chez S. pneumoniae et S. aureus respectivement) |   sont bactériostatiques pendant la période de multiplication exponentielle | V:  la résistance peut être établie par l'imperméabilité de la membrane externe ou l'efflux (par exemple, chez P. aeruginosa) | V:  se lient à des enzymes de la membrane cytoplasmique, les protéines de liaison à la pénicilline (PLP), qui inhibent la synthèse du peptidoglycane en phase terminale |   se lient à des enzymes dans l'espace périplasmique, les protéines de liaison à la pénicilline (PLP), qui inhibent la synthèse du peptidoglycane en phase terminale |  la résistance peut être établie par la synthèse de bêta-lactamases (pénicillines), qui est la plus courante (uniquement chez les bactéries gram-négatives, aérobies ou anaérobies) | V:  la résistance peut être établie par la synthèse de bêta-lactamases (pénicillines), qui est la plus courante (tant chez les bactéries à Gram positif que chez celles à Gram négatif, aérobies ou anaérobies) |   la résistance peut être établie par la synthèse de bêta-lactamases (pénicillines), ce qui est le plus fréquent (uniquement chez les bactéries gram-positives, aérobies ou anaérobies) |   sont bactéricides pendant la multiplication stationnaire | V:  sont bactéricides pendant la période de multiplication exponentielle
QCM || Question 70 :  A propos des pénicillines, on peut dire : ||   L'avibactam est un nouvel antibiotique de la classe des aminopénicillines. | V:  la carbénicilline et la ticarcilline sont des carboxypénicillines | V:  L'ampicilline, l'amoxicilline et la bacampicilline sont des aminopénicillines. |   Le céfuroxime est un nouvel inhibiteur de bêta-lactamase qui protège les pénicillines de l'inactivation par les bêta-lactamases. |   La carbénicilline et la ticarcilline sont des uréidopénicillines. |  l'azlocilline, la méslocilline et la pipéracilline sont des carboxypénicillines |   Le céfépime est un nouvel inhibiteur de bêta-lactamase qui protège les pénicillines de l'inactivation par les bêta-lactamases. | V:  la benzyl-pénicilline, la phénoxyméthyl-pénicilline, la procaïne-pénicilline et la benzatin pénicilline sont des pénicillines biosynthétiques | V:  L'azlocilline, la méslocilline et la pipéracilline sont des uréidopénicillines. | V:  Le sulbactam, le tazobactam et l'acide clavulanique sont des inhibiteurs de bêta-lactamase qui protègent les pénicillines de l'inactivation par les bêta-lactamases.
QCM || Question 71 :  A propos des inhibiteurs d'acide nucléique, on peut dire : ||   Le cotrimoxazole est une association synergique de sulfaméthoxazole et de télavacine à effet bactériostatique. |   La rifampicine n'est active que sur les espèces de Mycobacterium. | V:  La lévofloxacine, la gatifloxacine et la moxifloxacine font partie des quinolones de 3e génération. | V:  La norfloxacine, la ciprofloxacine, l'ofloxacine et la péfloxacine font partie des quinolones de 2e génération. |   Les quinolones de première génération ne sont actives que sur les bacilles gram-positifs. | V: Le cotrimoxazole est une association synergique de sulfaméthoxazole et de triméthoprime à effet bactéricide. |   La norfloxacine, la ciprofloxacine, l'ofloxacine et la péfloxacine font partie des quinolones de 3e génération. | V:  La rifampicine, les sulfamides, le triméthoprime et le métronidazole appartiennent à cette catégorie. |   La lévofloxacine, la gatifloxacine et la moxifloxacine font partie des quinolones de deuxième génération. | V:  Les quinolones appartiennent à cette catégorie
QCM || Question 72 :  A propos des glycopeptides, nous pouvons dire : ||   l'oritavancine, un nouveau glycopeptide, est dérivé de la teicoplanine |   ont un mécanisme d'action différent de celui des bêta-lactamines : ils se fixent à la partie terminale de la chaîne pentapeptidique (D-ala - D-ala), bloquant l'incorporation de nouvelles sous-unités dans la macromolécule de peptidoglycane, avec un effet bactériostatique en phase de croissance exponentielle |   ont pour spectre d'activité uniquement les bactéries gram-négatives aérobies et anaérobies |   ont un mécanisme d'action différent de celui des bêta-lactamines : ils se fixent à la partie terminale de la chaîne pentapeptidique (D-ala - D-ala), bloquant l'incorporation de nouvelles sous-unités dans la macromolécule de peptidoglycane, avec un effet bactéricide en phase stationnaire de croissance |  la dalbavacine, un nouveau dérivé de la teicoplanine, est active contre le staphylocoque doré résistant à la vancomycine | V: les bactéries gram-négatives sont naturellement résistantes aux glycopeptides | V:  ont un mécanisme d'action différent de celui des bêta-lactamines : ils se fixent sur la partie terminale de la chaîne pentapeptidique (D-ala - D-ala), bloquant l'incorporation de nouvelles sous-unités dans la macromolécule de peptidoglycane, avec un effet bactéricide dans la phase exponentielle de croissance | V:  comme représentants nous pouvons énumérer : représentants : vancomycine, teicoplanine, dalbavancine, oritavancine, telavancine | V:  La dalbavacine n'est pas active contre le staphylocoque doré résistant à la vancomycine. | V:  ont pour spectre d'activité uniquement les bactéries gram-positives aérobies et anaérobies
QCM || Question 73 :  A propos des antibiotiques qui inhibent la paroi des bactéries acido-alcoolo-resistantes, on peut dire : ||   L'isoniazide, qui inhibe la synthèse de l'arabinogalactane, a un effet bactériostatique uniquement sur les bacilles extracellulaires. | V:  Isoniazide, inhibe la synthèse de l'acide mycolique, a un effet bactéricide contre les bacilles extra- et intra-cellulaires |   Isoniazide, inhibe la synthèse de l'acide mycolique, a un effet bactériostatique sur les bacilles extra- et intracellulaires. | V:  L'isoniazide est un antituberculeux de première ligne. | V:  L'éthambutol est un antituberculeux de première ligne. | V:  La streptomycine et la rifampicine font partie des tuberculostatiques de première intention. |   L'éthambutol a une action bactéricide |   La pyrazinamide a un spectre d'action identique à celui de l'isoniazide, avec un effet bactériostatique. | V:  Le pyrazinamide est un antituberculeux de première intention. |  La streptomycine et la rifampicine font partie des tuberculostatiques de deuxième intention.
QCM || Question 74 :  En ce qui concerne les antibiotiques qui altèrent les fonctions de la membrane cytoplasmique, nous pouvons affirmer : || V:  La Polymyxine E est également appelée colistine. |   Ont un effet bactériostatique | V:  La Polymyxine B appartient à cette catégorie | V:  Ont un effet bactéricide |   N'ont un effet bactériostatique que dans la phase stationnaire de la croissance bactérienne. |  La polymyxine B est également appelée colomycine. |   La polymyxine B est également appelée colistine. | V:  La colistine appartient à cette catégorie |   Actif uniquement sur les bactéries gram-positives | V:  Agit uniquement sur les bactéries gram-négatives
QCM || Question 75 :  A propos des antibiotiques qui inhibent la synthèse des protéines, on peut dire : || V:  Les aminoglycosides (amikacine, streptomycine, gentamicine, sisomycine, nétilmicine, etc.) font partie des antibiotiques qui inhibent la synthèse des protéines en agissant sur la sous unité ribosomique 30S. | Les macrolides (érythromycine, clarithromycine, azithromycine, etc.) font partie des antibiotiques qui inhibent la synthèse des protéines en agissant sur la sous-unité ribosomique 30S. |  Les macrolides ont un effet bactéricide | V:  Le chloramphénicol et le thiamphénicol, qui appartiennent à la catégorie des produits phénoliques, ont un effet bactériostatique. | V:  La gentamicine et la tobramycine sont actives contre P. aeruginosa ; elles ont un effet synergique avec les pénicillines ou les glycopeptides, contre Enterococcus. |  Les tétracyclines sont des antibiotiques à large spectre et ont un effet bactéricide. |  Les aminoglycosides ont un effet bactériostatique. | V:  Le chloramphénicol et le thiamphénicol font partie de la catégorie des phénicoliques et sont des antibiotiques qui inhibent la synthèse des protéines en agissant sur la sous-unité ribosomale 50S. | V:  Les aminoglycosides ont un effet bactéricide. | V:  Les tétracyclines (tétracycline, oxytétracycline, chlortétracycline, rolitétracycline, doxycycline, minocycline) font partie des antibiotiques qui inhibent la synthèse des protéines en agissant sur la sous-unité ribosomale 30S et ont un effet bactériostatique.
QCM || Question 76 :  L'écologie est la science qui étudie : ||   comment les micro-organismes provoquent des infections |   les relations entre les micro-organismes dans des conditions de croissance en laboratoire | V: relations entre les micro-organismes de la plaque dentaire | V: relations entre les micro-organismes intestinaux | V:  les relations entre les microorganismes buccaux et les différents biotopes buccaux |   pathogénicité des micro-organismes | V: les relations entre les micro-organismes et leur milieu de vie |  sensibilité aux antibiotiques des bactéries |     la multiplication des bactéries dans des conditions de vie parfaitement maîtrisées | V:  microbiote humain indigène
QCM || Question 77 :  L'écosystème oral comprend : || V: la flore microbienne des muqueuses |  la flore des fosses nasales |  flore du pharynx et du nasopharynx |  le biofilm dentaire | V: dispositifs prothétiques insérés a travers la cavité buccale | V: la flore microbienne des crevasses gingivales |  flore microbienne de la peau péri orale | V: la muqueuse buccale | V: les dents | flore microbienne du tissu gingival
QCM || Question 78 :  Les biotopes oraux sont : ||   muqueuse nasale | V:  muqueuse palatine | V:  les dents | V:  salive | V:  crevasses gingivales | V:  muqueuse jugulaire |   muqueuse glottique | V:  muqueuse jugulaire |   muqueuse de la trompe d'Eustache |   glandes parotides
QCM || Question 79 :  A propos de la flore buccale du nouveau-né on peut dire : || V:   les premiers colonisateurs sont appelés espèces pionnières | V:   sa cavité buccale est stérile |    la colonisation de la cavité buccale commence immédiatement apres la naissance |    un petit nombre de micro-organismes peuvent atteindre la cavité buccale avant la naissance | 	la colonisation précède la contamination | V:    sa cavité buccale est contaminée par des microorganismes transplacentaires | V:   la colonisation commence quelques heures apres la naissance, apres l'allaitement du bébé | V:   la contamination précède la colonisation |   	sa cavité buccale est colonisée par des micro-organismes qui traversent le placenta |  	les premiers colonisateurs sont appelés espèces commensales primaires
QCM || Question 80 :  Espèces pionnières orales : ||   ce sont des bactéries qui sont retenues passivement |   ils ont des récepteurs pour les ligands sur la muqueuse buccale | V:  ce sont principalement des streptocoques oraux | V:  sont des bactéries qui peuvent se fixer a la muqueuse buccale |   ce sont des neisseries sans prétention | V: ils ont des ligands pour les récepteurs de la muqueuse buccale |   ce sont principalement des staphylocoques a coagulase négative | V:  sont les premières bactéries a contaminer puis coloniser la muqueuse buccale | V:  sont les espèces présentes dans les aliments qu'ils ingèrent |   sont des streptocoques beta hémolytiques
QCM || Question 81 :  Dans la première année de vie : ||  les dents sont principalement colonisées par des bactéries anaérobies | V: les dents sont colonisées par des streptocoques du groupe mutans |  la flore buccale est dominée par Streptococcus mutans | V:  la muqueuse buccale est colonisée par des streptocoques mutans | V: les dents et les crevasses gingivales apparaissent |  les muqueuses ne sont pas colonisées |  les dents sont principalement colonisées par les lactobacilles | V: les crevasses gingivales sont colonisées par des bactéries anaérobies | V: la flore buccale est dominée par les streptocoques oraux |  les dents sont colonisées par des actinomycètes
QCM || Question 82 :  Chez l'adulte : ||   dents morphologie identique et colonisation similaire a celle de l'enfant |   les crevasses gingivales plus profondes favorisent la colonisation par les streptocoques oraux | V: la flore buccale contient plus de 1000 espèces microbiennes | V:  les crevasses gingivales sont plus profonde |   la flore buccale est composée de nombreuses espèces de transition |  La flore buccale contient environ 500 espèces microbiennes |   la plupart des micro-organismes colonisateurs sont des virus oraux | V:  la flore buccale est variée (communauté climacique) | V:  la plupart des micro-organismes colonisateurs sont des bactéries | V:  les dents ont des espaces rétentifs plus grands
QCM || Question 83 :  Chez les personnes édentées: || V:  le nombre de bactéries anaérobies est réduit | V:  la flore buccale ressemble a celle du nourrisson édenté |   diminue le nombre de levures |   augmente le nombre de streptocoques mutans | V:  augmenter le nombre de levures |   les principaux colonisateurs sont les protozoaires |   augmente le nombre de bactéries anaérobies | V:  la flore buccale est plus pauvre que chez ceux qui ont une dentition | V:    les crevasses des dents et des gencives disparaissent |    la flore buccale est similaire a celle des individus non édentés
QCM || Question 84 :  Les facteurs qui influencent le développement de la flore buccale peuvent être : || V:  la présence de crevasses gingivales | V:  co agrégation de bactéries |   la présence de sutures protectrices |   adhésion des bactéries au neuraminidases bactériennes |   la présence de phages tempérés | V: adhésion des bactéries au film salivaire |   adhésion des bactéries aux ligands viraux | V:  adhésion des bactéries aux récepteurs cellulaires | V:  le pH acide dans le sillon gingival enflammé |   la présence de sites rétractables
QCM || Question 85 : L'élimination des micro-organismes buccaux peut être obtenue par les mécanismes suivants : || V: desquamation de l'épithélium malpighien |  mastication des aliments abrasifs |  le pH alcalin de la salive |  écoulement de liquide créviculaire | V: mouvements de la langue | V:  exfoliation du biofilm dentaire | infections bactériennes et virales simultanées | V:  élimination du biofilm dentaire par le flux salivaire |  la présence de sucs digestifs | V: lavage par sécrétion salivaire
QCM || Question 86 :  La multiplication des microorganismes buccaux est conditionnée par les facteurs suivants: || V: la présence de nutriments |  concentration de calcium salivaire |  pH sanguin | V: pH | V: potentiel redox |  l'existence de dents dans la cavité buccale | V: interactions bactériennes | V: antibiothérapie |  dureté de l'hydroxyapatite |  la température de la cavité buccale
QCM || Question 87 :  Les bactéries buccales peuvent utiliser comme nutriments : ||   produit par les sécrétions des glandes pituitaire | V:  composés résultant du métabolisme des bactéries buccales | V:  protéines de cellules desquamées |   nutriments plasmatiques |   récepteurs salivaires |  glutaraldéhyde salivaire |   rayonnement lumineux | V:  protéines salivaires | V:    nutriments du liquide créviculaire | V:   nutriments alimentaires
QCM || Question 88 :  A propos de la flore colonisatrice des dents : || V:  les dents sont constituées de plusieurs biotopes |   les dents ne sont contaminées que dans l'état de santé | V:  les dents sont colonisées dans l'état de santé bucco-dentaire |  les populations bactériennes qui colonisent les dents sont très stables | V:  la flore bactérienne est différente en nombre et en nature sur chaque surface dentaire |  il n'y a pas de différences quantitatives ou qualitatives dans la colonisation des différents biotopes dentaires | V:  les dents seront colonisées par différentes populations bactériennes |   les dents ne sont contaminées que dans l'état pathologique |   les dents ont la même structure et le même type de colonisateurs | V:  les dents sont colonisées dans l'état de santé bucco-dentaire
QCM || Question 89 :  Les conditions fournies par les crevasses gingivales qui conditionnent l'établissement de la flore bactérienne a ce niveau sont : || V:  les bactéries strictement anaérobies sont dominantes dans ces conditions de logement |   le flux salivaire assure l'élimination des bactéries de ce niveau | V:  la pression partielle d'oxygène est réduite | V:  surfaces aux propriétés différentes (racine dentaire, gencive) pour la fixation des bactéries |   les bactéries sans prétention nutritionnelle sont privilégiées dans ce biotope | V: le liquide créviculaire fournit un apport de protéines plasmatiques | V:  sont des espaces rémanents |   le liquide créviculaire assure l'élimination efficace des bactéries |   les bactéries ne peuvent pas se fixer à ce niveau |   le brossage des dents est le principal mécanisme d'élimination des bactéries des crevasses gingivales
QCM || Question 90 :  A propos de la colonisation des prothèses et appareils orthodontiques on peut dire : || V:  la flore de colonisation des appareils orthodontiques n'est pas identique a celle des matériaux prothétiques |   les bactéries buccales ne peuvent pas adhérer aux appareils orthodontiques | V:  les matériaux prothétiques sont des surfaces sur lesquelles les bactéries buccales peuvent adhérer | V:  les appareils orthodontiques peuvent être colonisés par des bactéries buccales |   les matériaux prothétiques protègent contre le développement d'infections buccales |  la flore colonisant les surfaces dentaires est identique a celle des matériaux prothétiques |   la flore de colonisation des appareils orthodontiques est identique a celle des matériaux prothétiques | V:  la flore colonisant les surfaces dentaires n'est pas identique a celle des matériaux prothétiques | V:  Les prothèses et les appareils orthodontiques mal nettoyés peuvent devenir des sources d'infection |   les bactéries buccales ne peuvent pas adhérer aux matériaux prothétiques
QCM || Question 91 :  Streptocoques oraux : || V: ils peuvent être non hémolytiques | V: la plupart des espèces sont alpha-hémolytiques | V: ils sont aussi appelés streptocoques viridans |  ils sont toujours alpha-hémolytiques |  sont les principaux agents étiologiques de l'angor bactérien |  ils ne peuvent pas coloniser le biofilm dentaire | V: ils ont des cytotoxines responsables de la production d'alpha hémolyse |  ils peuvent être beta hémolytiques | V: colonise la muqueuse buccale et le biofilm dentaire |  ils sont aussi appelés streptocoques angineux
QCM || Question 92 :  Streptocoques oraux : ||   appartiennent au groupe phylogénétique Streptococcus viridans |   ce sont des bactéries strictement anaérobies | V:  ce sont des bactéries anaérobies facultatives |   ce sont des coques Gram-négatifs disposés en longues chaînes | V:  sont des colonisateurs primaires du biofilm dentaire | V: appartiennent a plusieurs groupes phylogénétiques | V:  ce sont des cocci a Gram positif disposés en longues chaînes |   sont des colonisateurs tertiaires du biofilm dentaire | V:  ce sont des bactéries nutritionnellement exigeantes |   ce sont des bactéries nutritionnellement peu exigeantes
QCM || Question 93 :  Streptocoques viridans : || V:  peut être impliqué dans les infections endodontiques |   peut provoquer une pneumonie interstitielle | V:  colonise principalement la muqueuse buccale |   ils sont aussi appelés streptocoques pathogènes |   colonise principalement les muqueuses des voies respiratoires inférieures | V: ils sont aussi appelés streptocoques oraux | V:  ce sont des colonisateurs du film dentaire |   peut provoquer des infections systémiques chez les patients normoreactifs | V:  peut provoquer une endocardite infectieuse |   peut provoquer une pneumonie lobaire aiguë
QCM || Question 94 :  Les streptocoques oraux appartiennent aux groupes phylogénétiques suivants : || V:  salivarius | V:  mutans | V:  anginosus |  acidoplilus |  haemolyticus |  termophilus |  casei | V: mitis | V: sanguinis |  saprophyticus
QCM || Question 95 :  Les streptocoques oraux peuvent être impliqués dans les infections suivantes : || V:  caries radiculaires |   maladie parodontale | V:  endocardite infectieuse subaiguë | V:  abcès cérébraux  |   maladie inflammatoire pelvienne |   pneumonie lobaire aiguë | V: infections endodontiques |  infections digestives | V:    caries dentaires |    infections des voies urinaires
QCM || Question 96 : Staphylocoques : ||  colonisent les muqueuses des voies respiratoires inférieures |   ce sont des bactéries strictement anaérobies | V:  ce sont des coques a Gram positif placés en amas irrégulières | V:  colonise la peau | V:  ce sont des bactéries nutritionnellement peu exigeantes | V:  colonisent la muqueuse buccale |   ce sont des bactéries nutritionnellement exigeantes |   colonisent les tissus parodontaux | V:  ce sont des bactéries anaérobies facultatives |   ce sont des coques gram-négatifs placés en amas irrégulières
QCM || Question 97 :  Les espèces bactériennes suivantes sont des staphylocoques à coagulase négative : || V: S. capitis |  S. intermedius | V: S. auricularis |  S. mitis | V: S. epidermidis |  S. anginosus |  S. mutans | V: S. saprophyticus |  S.aureus | V: S. haemolyticus
QCM || Question 98 :  Les staphylocoques peuvent provoquer les infections suivantes : || V:   ostéomyélite |   angine aiguë | V: septicémie |   érysipèle |   mononucléose infectieuse | V:   furoncle |   scarlatine | V:  staphylococcies malignes | V:	folliculite |  gangrène gazeuse
QCM || Question 99 :  Les genres bactériens suivants sont strictement anaérobies : || V:  Finegoldia | V:  Peptococcus |   Streptococcus | V:  Micromonas | V:  Peptostreptococcus |  Pseudomonas |   Escherichia |   Staphylococcus | V:  Parvimonas |   Enterococcus
QCM || Question 100 :  Les genres bactériens suivants sont bactéries Gram-positives : || V:  Peptocoque | V:  Streptocoque | V:  Lactobacilles |   Neisseria |   Capnocytophaga |  Eikenella | V:  Staphylococcus |   Porphyromonas | V:  Actinomyces |   Escherichia
QCM || Question 101 :  Les genres bactériens suivants sont des bacilles Gram -positives : ||   Esherichia |   Eikenella | V:  Clostridium |   Porphyromonas |   Capnocytophaga |  Fusobacterium | V:  Lactobacillus | V: Actinomyces | V:  Propionibacterium | V:  Eubacterium
QCM || Question 102 :  Les genres bactériens suivants sont anaérobies facultatives : ||   Tanerella |   Porphyromonas |   Fusobacterium | V: Streptococcus | V:  Proteus |   Peptococcus |  Peptostreptococcus  | V: Staphylococcus | V:  Klebsiella | V: Escherichia 
QCM || Question 103 :  Les bactéries suivantes sont carboxiphiles: || V: Aggregatibacter actinomycetemcomitans | V:  Kingella kingae |   Streptococcus carboxiphilus | V:  Eikenella corrodens |  Fusobacterium nucleatum |  Haemophilus actinomycetemcomitans |   Porphyromonas endodontalis | V:  Haemophilus paraphrophilus |   Tanerella forsythia | V:  Capnocytophaga gingivalis
QCM || Question 104 :  A propos des actinomycètes on peut dire : ||   ils ont une paroi Gram-négative | V:  ce sont des bacilles a Gram positif | V:  ils sont morphologiquement similaires aux champignons filamenteux | V:  ce sont des bactéries anaérobies ou aérotolérantes |   provoquer des infections appelées mycoses |  sont des levures a Gram positif |   ce sont des champignons filamenteux | V:  ils ont une paroi type Gram positif | V:  ils ont une croissance filamenteuse |   on les appelle aussi mycètes
QCM || Question 105 :  Dans le microbiote de la cavité buccale on trouve les bactéries suivantes : || V:  streptocoques oraux |  toxoplasme | V:  corynébactéries | V:  actinomycètes |   plasmodes |  Giardia oralis | V:  les lactobacilles |   virus de l'herpes | V:  les entérobactéries |  Trichomonas tenax
QCM || Question 106 :  Les facteurs qui conditionnent l'apparition d'une maladie carieuse sont: ||   régime riche en graisses |   le facteur psychologique | V:  bactéries présentes dans la plaque dentaire |   bactéries protéolytiques orales | V:  bactéries cariogènes orales |  le facteur génétique |   bactéries dans la salive | V:  temps de génération | V:    le temps d'action des facteurs cariogènes | V:  alimentation riche en sucres
QCM || Question 107 :  Les bactéries cariogènes orales appartiennent aux catégories suivantes : ||   bactéries anaérobies |   bactéries protéolytiques |   bactéries strictement aérobies | V: les lactobacilles |   protozoaires oraux | V:  streptocoques oraux | V: streptocoques mutans | V: autres bactéries acidogènes | 	levures orales | V:  actinomycètes
QCM || Question 108 :  Les déterminants de la cariogénicité d'une bactérie peuvent etre les facteurs suivants: || V: la capacité d'adhérer a la plaque dentaire |  la capacité d'adhérer a l'épithélium buccal | V: tolérance aux acides | V: la capacité de produire des lipopolysaccharides extracellulaires | V: la capacité de produire des métabolites acides | V: la capacité de produire des polysaccharides intracellulaires |  acidurie |  la capacité de produire des lipides intracellulaires |  tolérance au pH alcalin |  la capacité de produire des métabolites intermédiaires
QCM || Question 109 :  Les déterminants de la cancérogénicité d'une bactérie peuvent etre les facteurs suivants: || V:  la capacité de produire des polysaccharides extracellulaires | V:  la capacité de produire des métabolites acides | V:  la capacité de produire des polysaccharides intracellulaires |   la capacité de produire des lipopolysaccharides extracellulaires | V:  la capacité de produire de l'acide lactique |  tolérance au pH alcalin |   la capacité de produire des lipides intracellulaires |   la capacité de produire des métabolites intermédiaires |   la capacité d'adhérer a l'épithélium buccal | V:  la capacité d'adhérer au biofilm dentaire
QCM || Question 110 :  La capacité de certaines bactéries a adhérer au biofilm dentaire peut sʼexpliquer par : ||   l'existence de ligands pour l'émail des dents | V:  l'existence de ligands pour la couche de salive | V:  production de glycocalyx | V:  la production de polysaccharides extracellulaires | V:  la capsule bactérienne |  la production d'enzymes digestives | V: adhésion aux cellules du biofilm dentaire |   endospores de bactéries cariogènes |   la production de polysaccharides intracellulaires | V:  adhésion a la matrice de la plaque dentaire
QCM || Question 111 : A propos de la maladie carieuse, nous pouvons dire : || V:  est une condition pathologique tres courante | V:  est une condition destructrice du tissu osseux dur de la dent | V:  l'alimentation joue un rôle essentiel dans la génération du biofilm cariogène dentaire | V:  le principal facteur étiologique est les bactéries acidogènes orales |   le facteur génétique est le facteur étiologique le plus important |  le principal facteur étiologique est la bactérie salivaire |   c'est une maladie éminemment exogène |   est une condition destructrice du tissu osseux dur de l'os alvéolaire | V:    c'est une maladie endogène |  c'est une maladie rare
QCM || Question 112 :  Nous pouvons dire a propos des animaux sans germes (germ free) : || V:  ils doivent être nourris avec des aliments stériles | V:  grâce a une colonisation contrôlée, ils peuvent etre transformés en animaux gnathobiotiques |   étaient des modèles expérimentaux pour démontrer l'étiologie de toutes les infections buccales |   grâce a une colonisation contrôlée, ils peuvent être transformés en animaux normaux |   ce sont des animaux libres pour développer leur flore commensale |  ont été découvertes par Louis Pasteur |   ce sont des animaux sans biofilm dentaire car ils n'ont pas de dents | V:  ce sont des animaux sans flore bactérienne | V:  étaient des modelés expérimentaux pour démontrer l'étiologie des caries dentaires | V:  ils ne peuvent être cultivés que dans des conditions de laboratoire spéciales
QCM || Question 113 :  On peut dire à propos du processus de cariogenèse : || V:   le pH acide initie le processus de déminéralisation |   elle est liée à l'activité invasive directe des bactéries dans le biofilm dentaire | V:  la nature dense de la plaque dentaire maintient les acides en contact avec l'émail et favorise sa déminéralisation |   le pH acide initie le processus de minéralisation | V:  elle est liée à l'activité métabolique des bactéries saccharolytiques |  il est lié à la production de métabolites acides a partir de la dégradation des protéines alimentaires |   les métabolites acides sont facilement neutralisés par les systèmes tampons salivaires | V:  la quantité de glucides n'est pas critique, mais la fréquence de leur consommation |   la quantité de glucides est plus importante que la fréquence de leur consommation | V:  il est lié à la production de métabolites acides à partir des glucides
QCM || Question 114 :  Les espèces suivantes appartiennent au groupe mutans des streptocoques oraux : ||   Streptococcus cariogenosus |   Streptococcus indicus |   Streptococcus oralis | V:  Streptococcus sobrinus |   Streptococcus milleri | V: Streptococcus cricetus | V:  Streptococcus ratii |   Streptococcus mitis | V:  Streptococcus mutans | V:  Streptococcus macacae
QCM || Question 115 :  Streptococcus mutans : ||   est une bactérie strictement anaérobie | V:  adhère principalement au film dentaire | V:  colonise les surfaces dentaires | V:  est une espèce cariogène pour les humains et les animaux |   c'est une espèce humaine | V: fait partie des espèces de streptocoques oraux |   il colonise surtout la muqueuse buccale |   il peut etre alpha hémolytique, non hémolytique ou meme betahémolytique | V:  est une espèce de streptocoque pathogène |   la colonisation commence immédiatement apres la naissance
QCM || Question 116 :  Streptocoque sobrinus: || c'est une espèce humaine | V: adhère principalement au film dentaire |  est une espèce de streptocoque pathogène | V:  coloniser les surfaces dentaires | V:  est une espèce cariogène pour les humains et les animaux |   la colonisation commence immédiatement après la naissance |  est une bactérie strictement anaérobie | V:  est une espèce cariogène | il colonise la muqueuse buccale | V:  est une espèce de streptocoque du groupe mutans
QCM || Question 117 :  Les déterminants de la carcinogénicité de Streptococcus mutans peuvent être : || V:  la capacité de fermenter le saccharose alimentaire |   la capacité de coloniser la muqueuse buccale | V:  la capacité de survivre dans un environnement acide | V:  la capacité de produire de grandes quantités d'acide lactique | V:  la capacité de stocker les glucides intracellulaire pour leur utilisation ultérieure comme source d'énergie | V: temps de génération court |   la capacité de produire des inclusions |   la capacité de produire de l'eau oxygénée |   paroi bactérienne gram-positive |   la production de béta hémolyse
QCM || Question 118 :  Les facteurs de virulence pour Streptococcus mutans peuvent être : || V:   adhésifs de surface de type lectins like |   production de glucagon |   production de catalase |   production de beta lactamase | V:  la production de glucanes insolubles extracellulaires |  production de coagulase |   la capacité de métaboliser les glucides avec la production de glycérine | V:  la production de protéases qui dégradent le collagène | V:  la production de mutacines | V:  la production de glycosyltransferases
QCM || Question 119 :  A propos de l'acquisition de S. mutans dans la flore buccale on peut dire : ||   ça se fait immédiatement après la naissance  |  l'apparition des lésions carieuses n'est pas influencée par le moment de la contamination | V:  elle est pratiquée après l'éruption des dents |   la source d'infection est représentée par le contact avec le personnel médical | V:  le régime alimentaire joue un rôle important dans la survenue de lésions carieuses |  la source d'infection est représentée par le contact avec des aliments contaminés | V:  plus l'acquisition est effectué tard dans la vie, plus les lésions carieuses sont tardives | V:  la source est la mère dans la plupart des cas | V:  la source d'infection est la salive des personnes autour de l'enfant
QCM || Question 120 :  Lactobacilles : || V: ce sont des bacilles a Gram positif |  ce sont des bactéries aciduriques | sont des bactéries qui causent la progression de la maladie parodontale | V:  adhère fermement au film dentaire | V:  ce sont des bactéries micro aérophiles ou strictement anaérobies |  ce sont des bacilles a Gram négatif |  colonise les surfaces lisses des dents | V: sont des bactéries acidogènes |  ce sont des bactéries strictement anaérobies | V: sont des agents étiologiques des maladies carieuses
QCM || Question 121 :  Déterminants de la cariogénicité des lactobacilles : || V:  ce sont des bactéries acidotolérantes |   la capacité d'adhérer fermement aux surfaces dentaires | V:  peut tolérer des niveaux de pH très bas (inférieurs a 4) | V:  ils peuvent adhérer au biofilm dentaire a travers la matrice de saccharide produite par les streptocoques |   la production de lactolisines | V: contribue a la progression des lésions carieuses initiées par les streptocoques oraux |  paroi Gram positif |   la capacité de produire de l'eau oxygénée | V:  sont des bactéries acidogènes |   la capacité de produire des beta-lactamines
QCM || Question 122 :  Les espèces de lactobacilles associées aux caries dentaires peuvent être : ||  Lactobacillus gingivalis |   Lactobacillus epidermidis |   Lactobacillus faecalis | V:  Lactobacillus rhamnossus | V:  Lactobacilluls acidophilus | V:  Lactobacilluls salivarius | V: Lactobacillus casei | V: Lactobacillus fermentum |     Lactobacillus mitis |    Lactobacillus saprophyticus
