QCM || Question 1 :   La sémiologie médicale est la partie de la médecine qui étudie : ||   La biologie cellulaire |   Les traitements | V:  Les symptômes | V:  La façon de les relever par des examens complémentaires |   Les maladies |   Lʼanatomie humaine | V:  Les signes | V:  La façon de relever les signes et les symptômes par examen clinique, | V:  La façon de relever les signes et les symptômes par interrogatoire |   La physiopathologie des maladies
QCM || Question 67 :    La dysphagie : || V:  Elle représente un symptôme d'alarme |   Elle représente la douleur lors de la déglutition | V:  Elle peut être complète ou incomplète |   Elle représente le vomissement de sang | V:  Elle représente une difficulté à avaler des aliments | V:  Elle peut apparaître dans les néoplasies oesophagiennes | V:  C'est la sensation d'arrête du bol alimentaire a travers de l'œsophage |   C'est la sensation de brûlure rétrosternale |   C'est un trouble respiratoire |   Elle représente l'élimination du sang des voies respiratoires par la toux
QCM || Question 68 :    Lʼexploration du système digestif comprend: || V:  LʼEndoscopie digestive basse |   Lʼéchographie cardiaque |   La radiographie pulmonaire |   Lʼéchographie Doppler des membres inférieurs | V:  Lʼexamen radiologique eso-gastro-duodénal |   La résonance magnétique nucléaire | V:  La touchée rectale |   Lʼexamen tomodensitométrique du thorax | V:  LʼÉchographie abdominale | V:  LʼEndoscopie digestive haute
QCM || Question 69 :   Parmi les causes des douleurs abdominales aiguës on peut retrouver : ||   Lʼʼhypertension artérielle essentielle | V:  Lʼocclusion intestinale |   L'asthme bronchique | V:  La colique néphrétique | V:  La colique biliaire |   Lʼangine pectorale |   La maladie de reflux gastro-œsophagien | V:  La pancréatite aiguë |   Le diabète sucré | V:  Lʼulcère gastrique et duodenal
QCM || Question 70 :    Les vomissements: || V:  Ils peuvent être précédés de nausées | V:  Ils représentent un acte réflexe, avec centre de vomissement dans le bulbe rachidien | V:  La sensation de nausée qui les accompagne fait la différence entre les vomissements et les régurgitations |   Ils sont sans odeur | V:  Ils représentent l'expulsion soudaine et forcée, par la bouche, du contenu gastrique |   Ils représentent l'augmentation du volume urinaire plus de 2000 ml/24 h | V:  Ils peuvent apparaître dans les ulcères gastriques et duodénaux |   Ils peuvent apparaître seulement le matin |   Ils ne sont jamais précédés de nausées |   Ils ne sont jamais multiples
QCM || Question 71 :    Lʼhématémèse : ||   Elle n'est pas une urgence | V:  Le sang peut être plus au moins digéré | V:  Elle est la complication la plus fréquente de l'ulcère gastroduodénal |   Le patient a souvent hypertension artérielle | V:  Elle a une couleur brunâtre (marc de café) |   Elle représente l'élimination des selles noires, molles et brillantes | V:  Elle représente une urgence en gastro-entérologie | V:  Elle représente l'élimination du sang par la bouche par des vomissements |   La cause n'est pas représentée par les troubles digestifs |   Elle représente l'élimination du sang expulsé par la toux
QCM || Question 72 :    En cas d'hématémèse les suivantes sont vraies: || V:  Le patient doit être évalué par endoscopie digestive haute dans les premières 24 à 48 heures | V:  Le diagnostic différentiel est fait avec l'hémoptysie | V:  Le diagnostic différentiel est fait avec une épistaxis avalé |   L'endoscopie digestive haute n'est pas la méthode de choix |   Lʼhémogramme n'est pas nécessaire pour nous orienter sur la gravité de l'hémorragie digestive haute | V:  Une cause qui doit être différenciée de l'hématémèse est représentée par la gingivorragie | V:  Les varices œsophagiennes de la cirrhose du foie peuvent être une cause d'hématémèse |   Elle n'y a aucun risque de rechute |   Elle représente le besoin de consommer des liquides |   Elle n'apparaît jamais dans la pathologie ulcéreuse
QCM || Question 73 :   En ce qui concerne la topographie de l'abdomen, les affirmations suivantes sont vraies: || V:  L'abdomen est divisé par 2 lignes horizontales et 2 lignes verticales |   L'abdomen est divisé en 12 zones topographiques | V:  Au niveau de l'hypochondre droit on trouve le lobe droit du foie, la vésicule biliaire, l'angle droit du côlon, le rein droit et le duodénum |   Au niveau de l'épigastre on trouve lʼappendice | V:  Au niveau du flanc gauche on trouve la rate |   Au niveau de l'hypochondre droit on trouve la rate | V:  Au niveau de la fosse iliaque gauche on trouve le côlon sigmoïde | V:  L'abdomen est divisé en 9 zones topographiques |   Il est divisé en 3 lignes horizontales et 3 lignes verticales |   L'abdomen est divisé en 6 zones topographiques
QCM || Question 74 :    Le méléna : ||   Elle représente le vomissement de sang |   Elle survient le plus souvent dans les infections urinaires | V:  La couleur, la consistance et l'odeur sont dues à une digestion incomplète du sang | V:  Le diagnostic différentiel peut être fait avec l'administration de médicaments (fer, bismuth) |   Les selles méléniques sont rouge foncée | V:  Il représente l'élimination de selles noires, pâteuse et brillantes | V:  Les selles sont souvent qualifiées de goudronneuses |   Elle représente une hémorragie digestive basse | V:  Il indique une hémorragie située relativement haut dans le tube digestif. |   Elle représente l'extériorisation du sang rouge par l'anus
QCM || Question 75 :    Parmi les causes d'hématémèse on peut trouver : ||   Sténose mitrale |   Infarctus pulmonaire | V:  Ulcère gastrique | V:  Gastrite hémorragique | V:  Varices œsophagiennes dans la cirrhose du foie |   Pneumothorax | V:  Cancer gastrique |   Cancer broncho-pulmonaire | V:  L'ulcère duodénal |   Pneumonie à Klebsiella pneumominiae
QCM || Question 76 :    La manœuvre de Murphy : || V:  Si le patient arrête l ́ inspiration pendant la manœuvre, on peut dire que la manœuvre est positive. |   La pression est appliquée avec le bout des doigts sur le flanc gauche lorsque le patient est en décubitus dorsal | V:  Elle est positive dans la cholécystite aigue | V:  C'est un signe qui montre lʼinflammation de la paroi de la vésicule biliaire |   Elle est positive dans les ulcères |   Elle est positive dans les coliques néphrétiques | V: Pour lʼeffectuer on doit appliqué une pression avec le bout des doigts au niveau de l'hypochondre droit lorsque le patient est en décubitus dorsal |   Elle apparaît dans l'occlusion intestinale | V: L'application d'une pression sur l'hypochondre droit se fait de manière synchrone avec l'inspiration profonde du patient |  Elle apparaît dans les maladies pancréatiques
QCM || Question 77 :    La douleur ulcéreuse peut être accompagnée de : || V:  Troubles de l'appétit | V:  Nausée |   Toux |   Dyspnée |   Palpitations | V:  Vomissements alimentaires | V:  Régurgitation |   Hémoptysie | V:  Pyrosis |   Dysurie
QCM || Question 78 :   Les suivantes sont vraies en ce qui concerne la douleur dans lʼulcère gastroduodénal : ||   La douleur est permanente, sans période d'accalmie | V:  La douleur est rythmée par les repas (la petite périodicité) |   Dans la crise d'ulcère la douleur ne dépasse pas 3 minutes | V:  La douleur peut avoir un caractère saisonnier (printemps et automne) | V:  La durée peut être des heures, des jours ou des semaines avec des périodes d'accalmie | V:  Les facteurs aggravants sont la consommation d'alcool et les aliments trop épicés |   L'ingestion des aliments alcalines n'influence pas la douleur | V:  La localisation de la douleur est plus fréquente dans la région épigastrique |   Il nʼexiste pas de facteurs dʼamélioration de la douleur |   La douleur n'est pas rythmée par les repas
QCM || Question 79 :   Les manifestations extra-digestives (atypiques) du reflux gastro-oesophagien peuvent être représentées par : ||   Sialorrhée | V:  Laryngite |   Pyrosis | V:  Gingivite | V:  Toux chronique | V:  Sensation de corps étranger |   Odynophagie | V:  Érosions dentaires |   Régurgitation acide |   Éructation
QCM || Question 80 :   Les manifestations digestives (typiques) du reflux gastro-oesophagien peuvent être représentées par : || V:  Sialorrhée | V:  Eructation |   Otite moyenne | V:  Odynophagie | V:  Régurgitation acide |   Brûlures de la muqueuse orale |   Régurgitation alcaline |   Torticolis | V:  Pyrosis |   Abcès pulmonaire
QCM || Question 81 :    Les suivantes sont caractéristiques à la colique biliaire: || V:  Le patient peut adopter une position antalgique (penché en avant) |   L'irradiation de la douleur est le plus fréquente au niveau de l'hypochondre gauche | V:  Le patient peut être dans un état continu d'agitation psychomotrice |   La douleur cesse aux antihypertenseurs |   L'irradiation de la douleur est le plus fréquente au niveau de la région interscapulo-vertébrale gauche | V:  L'intensité est élevée, caractère de crampe |   L'intensité de la douleur est faible | V:  Le siège est au niveau de l'hypochondre droit | V:  L'irradiation de la douleur est le plus souvent postérieure et ascendante vers la pointe de l'omoplate droite |   Il n'est jamais associé à nausée et vomissement
QCM || Question 82 :    Concernant les coliques biliaires on peut dire que : || V:  Il succombe à l'administration d'antispasmodiques |   Le diagnostic différentiel est fait avec une colique néphrotique gauche |   L'examen objectif de l'abdomen révèle une défense musculaire située sur le flanc gauche | V:  La durée est variable (minutes, heures) |   Il ne succombe jamais spontanément à l'administration d'antispasmodiques | V:  L'examen objectif de l'abdomen révèle une défense musculaire située au niveau de |   Les calculs biliaires ne sont pas responsables de lʼapparition de la colique biliaire |   Elle sʼaccompagne dʼhématémèse | V:  La douleur peut être accompagnée de nausées et de vomissements alimentaires | V:  Il existe des circonstances de survenue (abus alimentaire, alimentation cholécystocinétique)
QCM || Question 83 :    Parmi les causes d'hématémèse et de méléna on peut trouver : ||   Cancer du colon |   Diverticule colique | V:  Ulcère gastrique | V:  Cancer de l'œsophage |   Maladie hémorroïdaire | V:  Varices œsophagiennes |   Ulcérations iléales | V:  Gastrite aiguë | V:  Ulcère duodénale |   Calculs rénaux
QCM || Question 84 :    La dysphagie : ||   Elle représente la brûlure rétrosternale |   La dysphagie survient toujours dans des conditions bénignes | V:  Elle représente la difficulté à avaler les alimentes |   Elle permet toujours le passage des aliments solides et semi-solides | V:  Elle peut être sélective, pour les solides | V:  Il faut la différencier de "globus hystericus" |   Elle apparaît dans les maladies de la vessie | V:  Une forte dysphagie peut s'accompagner d'un reflux nasal de la nourriture et de salive | V:  Les troubles de la dysphagie comprennent les troubles neuromusculaires |   La dysphagie concerne seulement les liquides
QCM || Question 85 :   Parmi les aspects suivants de la douleur épigastrique, quelles sont caractéristiques pour la douleur de l'ulcère duodénal ?: ||   Elle s'accentue après l'ingestion d'aliments | V:  Elle peut être saisonnière |   Elle s'améliore après des vomissements |   La douleur n'est pas le symptôme cardinal |   Les vomissements ne se produisent pas dans les ulcères |   La localisation de la douleur est au niveau de l'hypogastre | V:  Elle se présente sous la forme d'une crampe, d'une sensation de brûlure ou d'une distension épigastrique douloureuse | V:  La douleur ulcéreuse est présente le matin au réveil | V:  Elle a le caractère d'une faim douloureuse | V:  Elle s'améliore après les repas
QCM || Question 86 :    La douleur de la colique biliaire peut être caractérisée par : ||   Dans l'examen paraclinique, l'échographie abdominale n'est par une méthode utilisée | V:  Elle s'accompagne de nausées et de vomissements | V:  Elle est située dans l'hypochondre droit |   Elle ne peut pas être accompagné d'ictère | V:  Elle irradie généralement vers l'omoplate |   Elle irradie vers le bas dans l'hypogastre |   Le diagnostic différentiel ne peut pas être fait avec un infarctus du myocarde inférieur |   Elle est accompagnée des rectorragie | V:  Le diagnostic différentiel peut être fait avec la colique néphrétique droite | V:  Elle peut s'accompagner d'une jaunisse
QCM || Question 87 :   La niche gastrique bénigne mise en évidence à l'examen radiologique baryté peut être caractérisée par : ||   Elle présente un œdème péri-ulcéreux radio-transparent |   Elle ne dépasse pas le contour gastrique (niche en retrait) |   Elle ne présente pas d'œdème péri-ulcéreux |   Elle a une base d'implantation large et irrégulière |   Elle est généralement grande |   Elle dépasse le contour gastrique |   Les dimensions de la niche sont supérieures à 3 cm | V:  Les bords de la niche sont réguliers | V:  Les plis gastriques sont convergent vers la niche |   Les dimensions sont petites
QCM || Question 88 :    Relatif à la topographie de l'abdomen : || V:  Le pancréas se situe au niveau de l'épigastre |   Au niveau de l'hypochondre gauche se trouve le lobe droit du foie |   Au niveau de l'hypochondre droit se trouve le rein gauche |   Au niveau du flanc droit se projette le côlon transverse | V:  Le caecum est situe au niveau de la fosse iliaque droite |   Au niveau de la fosse iliaque droite se trouve le rein droit | V:  La grosse masse de l'intestin grêle se trouve au niveau mésogastrique |   Le pancréas est situé au niveau de la fosse iliaque gauche | V:  Au niveau de la fosse iliaque gauche, on trouve le côlon sigmoïde | V:  Au niveau de l'hypochondre droit se trouve la vésicule biliaire
QCM || Question 89 :   Les suivantes sont des caractéristiques cliniques spécifiques à la maladie ulcéreuse : || V:  La douleur est rythmée par les repas | V:  La "grande périodicité" de la douleur |   La douleur est localisée dans le flanc gauche | V:  Douleur localisée au niveau de l'épigastre |   Elle n'y a pas de "petite périodicité" |   Elle est accompagne de boulimie |   La douleur este accentue après l'ingestion d'alcalines | V:  La douleur este accentue après l'ingestion dʼalimentes acides | V:  La "petite périodicité" |   Elle n'y a pas de "grande périodicité"
QCM || Question 90 :    Les suivantes sont vraies pour l'examen de langue: || V:  La glossodynie est la sensation de brûlure de la langue | V:  La langue de framboisée apparaît dans la scarlatine |   Langue dépapillée : lisse, brillante, rouge - apparaît chez le patients avec candida albicans |   La langue framboise apparaît dans les maladies fébriles, la déshydratation |   Le muguet buccal apparaît chez les patients qui respirent par la bouche (polypes nasaux) |   La glossodynie est la réduction du nombre de mictions, inférieure à 3/24 heures | V:  La macroglossie est l'augmentation du volume de la langue | V:  Langue dépapillée : lisse, brillante, rouge - apparaît dans l'anémie de Biermer |   La macroglossie est la langue recouverte d'une couche jaune blanchâtre | V:  La langue sèche ou grillée se rencontre dans les déshydratations massives
QCM || Question 91 :    Les suivantes peuvent être pathologiques à l'examen dentaire: ||   La parodontite ne se produit pas dans le diabète sucrée |   La microdontie ne représente pas un changement de volume et d'apparence | V:  Des anomalies d'implantation surviennent dans la syphilis congénitale | V:  La macrodontie représente une augmentation de volume |   La macrodontie ne représente pas un changement de volume et d'apparence | V:  Les caries dentaires figurent également parmi les aspects pathologiques | V:  La triade de Hutchinson comprend : malformations dentaires (dents de Hutchinson, petites et avec des stries transversales et longitudinales), de lésions oculaires (kératite) et surdité labyrinthique), dans la syphilis congénitale |   La parodontite représente des anomalies d'implantation des dents |   La triade de Hutchinson comprend : malformations dentaires et epistaxis | V:  La parodontite se caractérise par la perte spontanée des dents
QCM || Question 92 :    Les suivantes sont vraies pour la sémiologie de l'œsophage : || V:  L'examen radiologique baryté et l'endoscopie digestive haute sont des méthodes d'exploration de l'œsophage | V:  Le pyrosis est la sensation de brûlure rétrosternale |   Le syndrome œsophagien comprend uniquement la dysphagie | V:  Globus hystericus représente la sensation d'une boule dans la gorge entre les repas (fausse dysphagie) |   Le pyrosis est l'élimination des gaz de l'estomac par la bouche | V:  Le syndrome œsophagien comprend la dysphagie, la douleur et la régurgitation |   La méthode la plus utilisée pour explorer l'œsophage est l'échographie abdominale | V:  L'éructation est l'élimination des gaz de l'estomac par la bouche |   Cela représente une difficulté à avaler des aliments |   L'éructation est la sensation douloureuse rétrosternale à caractère brûlant
QCM || Question 93 :    Le reflux gastro-œsophagien : ||   L'examen objectif est normalement le plus souvent | V:  La perte de poids est fréquemment associée au pyrosis dans le reflux gastro-oesophagien | V:  Les symptômes les plus importants sont le pyrosis et les régurgitations acides |   A l'examen clinique objectif on retrouve une hépato-splénomégalie | V:  C'est une condition fréquente | V:  Il représente le retour du contenu gastrique dans l'œsophage |   L'examen radiologique baryté ne permet pas de mettre en évidence un reflux gastro oesophagien |   Le scanner est l'examen de choix |   Le symptôme de base est la dysphagie | V:  L'une des causes de cette affection est la hernie hiatale
QCM || Question 94 :    Les plus fréquentes causes de douleurs abdominales gastro-intestinales sont : || V:  Rayonnement des douleurs antérieurs et diabète sucré | V:  Appendicite aiguë | V:  Intoxication alimentaire |   Infarctus rénal |   Colique néphrétique |   Pneumonie |   Infarctus du myocarde | V:  Ulcère duodénal perforé | V:  Ulcère gastrique perforé | V:  Occlusion intestinale
QCM || Question 95 :   Les maladies suivantes sont causes des douleurs abdominales chroniques intermittentes: ||   Péritonite primitive | V:  Ulcère gastrique non compliqué | V:  Gastrite chronique | V:  Ulcère duodénal non compliqué |   Pancréatite aiguë | V:  Pancréatite chronique |   Infarctus du myocarde | V:  Maladie de reflux gastro-oesophagien |   Ulcère gastrique ou duodénal perforé |   Appendicite aiguë
QCM || Question 96 :    Concernant l'inspection de l'abdomen, on peut affirmer que : ||   Le patient est examiné uniquement en orthostatisme | V:  Le nombril apparaît comme une cicatrice légèrement déprimée |   Le patient est examiné en décubitus latéral droit |   L'inspection se fait avec le patient habillé | V:  On peut constater la participation de lʼabdomen aux mouvements respiratoires | V:  Le patient est examiné en décubitus dorsal |   Le patient peut être examiné en position verticale |   A l'inspection, les membres inférieurs ne sont pas fléchis | V:  Le patient doit être déshabillé pour exposé l'abdomen | V:  Chez les nouveau-nés et les enfants, l'abdomen est convexe, chez les adultes, il est plat
QCM || Question 97 :    L'augmentation de volume de l'abdomen apparaît dans: || V:  Ascite |   Méningite tuberculeuse | V:  Grossesse |   Zona Zostère | V:  Tumeurs massives |   Maladie de reflux gastro-œsophagien | V:  Flatulence | V:  Obésité |   Sténose pylorique |   Alopécie
QCM || Question 98 :    Lors de la palpation de l'abdomen : ||   La palpation est uniquement bimanuelle |   Les mains doivent être froides |   La palpation commence à partir de l'hypochondre droit/gauche |   La palpation part d'une zone douloureuse | V:  Le médecin se place à droite du patient | V: La palpation commence à partir de la fosse iliaque gauche/droite dans le sens des aiguilles d'une montre ou dans le sens inverse des aiguilles d'une montre | V:  La palpation commence dans la fosse iliaque opposé à la région douloureuse | V:  La palpation peut être monomanuelle ou bimanuelle | V:  Il est recommandé d'avoir les mains chaudes pour éviter la contracture réflexe de la paroi abdominale |   Le médecin est assis à gauche du patient
QCM || Question 99 :    La palpation de l'abdomen : ||   La contraction de la paroi abdominale est indépendante de la volonté du patient | V:  La contracture de la paroi abdominale cède à la palpation |   La contracture de la paroi abdominale ne cède pas à la palpation | V:  La contraction de la paroi abdominale dépend de la volonté du patient | V:  Elle commence par une palpation superficielle et est poursuit par une palpation profonde |   Lors de la palpation de l'abdomen, seule une palpation profonde est effectuée |   La défense musculaire dépend de la volonté du patient | V:  La défense musculaire ne cède pas à la palpation persistante et ne dépend pas de la volonté du patient |   La défense musculaire représente un degré légère de rigidité de la paroi abdominale qui cède à la palpation persistante | V:  La défense musculaire représente un haut degré de rigidité de la paroi abdominale
QCM || Question 100 :     À propos de la palpation de l'abdomen : ||   L'abdomen en bois représente la défense musculaire et non la contracture généralisée de la paroi abdominale |   La palpation profonde nous donne des informations sur l'état de la paroi abdominale, des zones sensibles ou de résistance | V:  La palpation profonde nous donne des rapports sur les organes intra-abdominaux et leurs conditions | V:  Chez les femmes multipares et les personnes âgées, l'abdomen est flasque |   Lors de la palpation superficielle et profonde, le médecin regard vers le thorax du patient |   La palpation superficielle nous donne des informations sur les organes intra-abdominaux et leurs conditions | V:  La paroi abdominale est souple, élastique, indolore |   La palpation profonde est pratiquée avant la palpation superficielle | V:  La palpation superficielle nous donne des informations sur l'état de la paroi abdominale, des zones sensibles ou de résistance | V: 
QCM || Question 101 :     La percussion de l'abdomen : ||   Elle peut déterminer un son hypersonore en cas dʼascite | V:  Elle peut déterminer un son matte en cas dʼune tumeur solide | V:  Elle peut déterminer un son matte en cas de liquide dʼascite | V:  Il peut fournir des informations liées à la présence d'un processus pathologique (liquide, tumeurs) | V:  Elle peut déterminer un son matte dans lʼhypogastre en cas de globe vésical |   La percussion ne peut pas fournir d'informations liées à la présence d'une tumeur abdominale |   La percussion est réalisée seulement au niveau de la fosse iliaque droite/gauche |   La présence de liquide dans la cavité abdominale ne peut pas être mise en évidence par percussion | V:  La percussion de l'abdomen produit normalement un son tympanique |   La percussion de l'abdomen produit normalement un son matte
QCM || Question 102 :     Les suivantes sont vraies concernant la percussion de l'abdomen: ||   Dans le cas de lʼascite on constate hypersonorité déplaçable sur les flancs |   L'hypersonosité peut être trouvée chez les patients présentant une ascite | V:  Dans des conditions normales, la percussion de l'abdomen produit un son tympanique | V:  Dans des conditions pathologiques, la matité peut être trouvée dans les tumeurs volumineuses | V:  Dans des conditions pathologiques, la matité peut être trouvée chez les patients présentant une ascite | V:  Dans le cas de lʼascite on constate matité déplaçable sur les flancs |   Dans des conditions normales, la percussion de l'abdomen produit un son non tympanique |   Dans des conditions pathologiques, la matité peut être trouvée dans le pneumopéritoine |   L'hypersonorité peut être trouvée chez les patients atteints de globe vésical | V:  L'hyper sonorité peut être retrouvée dans le pneumopéritoine
QCM || Question 103 :     Les suivantes sont vraies concernant lʼulcère gastroduodénal: ||   La localisation de la douleur est plus fréquente dans lʼhypogastre | V:  Lʼintensité de la douleur est variable | V:  La rythmicité est une caractéristique de la douleur ulcéreuse. |   La fièvre est le symptôme cardinal | V:  Le siège de la douleur est le plus souvent épigastrique |   Il nʼy a pas de périodes dʼacalmie dans la douleur ulcéreuse | V:  La périodicité est une caractéristique importante de la douleur |   La douleur des ulcères gastriques ou duodénaux survient immédiatement après lʼaccouchement |   Lʼintensité de la douleur nʼest présente que sous forme de brûlure | V:  La douleur est le symptôme cardinal
QCM || Question 104 :     Le signe de vague ou du flot : ||   Le médecin palpe l'hypochondre droit tout en percutant l'hypochondre gauche |   Il représente la percussion de la rate |   Il se fait par lʼauscultation de l'abdomen | V:  Un assistant place le bord ulnaire de la main au milieu de l'abdomen pour limiter la transmission de l'onde par le tissu gras | V:  Il représente la méthode mixte palpation-percussion (signe d'onde trans-abdominale) | V:  L'examinateur percute sur un flanc tout en palpant le flanc opposé |   Il représente une méthode de percussion et palpatoire pour le thorax |   C'est une méthode spécifique pour les coliques néphrétiques | V:  On le constate en présence de liquide dans la cavité abdominale | V:  Grâce à cette méthode, nous détectons la transmission dʼune onde par le liquide péritonéal
QCM || Question 105 :     Les suivantes sont vraies concernant les maladies gastriques : || V:  L'ulcère duodénal survient plus fréquemment après l'âge de 50 ans |   Le cancer gastrique survient 3 fois plus fréquemment chez les femmes que chez les hommes | V:  Les repas irréguliers et la consommation excessive en épices aggravent l'évolution des maladies gastriques |   L'ulcère duodénal est plus fréquent chez les jeunes entre 20 et 45 ans |   L'ulcère gastrique est plus fréquent chez les femmes | V:  L'ulcère duodénal et le cancer gastrique sont plus fréquents chez les hommes |   Le cancer gastrique survient fréquemment chez les jeunes |   Le tabagisme et la consommation d'alcool n'influencent pas l'évolution des maladies gastriques | V:  Le cancer gastrique apparaît généralement après 50 ans | V:  L'ulcère duodénal survient plus fréquemment chez les personnes qui travaille en stress
QCM || Question 106 :     La douleur en ulcère gastroduodénale : ||   La douleur n'irradie jamais vers le dos |   La localisation de la douleur est plus fréquente au niveau du flanc gauche et de la fosse iliaque droite | V:  L'intensité de la douleur varie en fonction de l'atteinte gastrique |   Les aliments excessivement épicée soulage la douleur |   Les médicaments alcalins aggravent la douleur | V:  La douleur peut irradier dans le dos vers le rachis | V:  L'intensité de la douleur dans le cancer gastrique et l'ulcère peptique non compliqué est la même | V:  Le siège est dans la région épigastrique | V:  Dans l'ulcère duodénal perforé, la douleur est violente "coup de poignard" |   Dans les crises ulcéreuses, il prend l'aspect de coliques
QCM || Question 107 :     Ulcère peptique : ||   Il n'y a pas de périodes d'accalmie dans l'ulcère peptique |   La douleur est le plus souvent localisée au niveau de l'hypochondre droit | V:  La douleur est située au niveau de l'épigastre | V:  L'anamnèse est l'élément principal pour établir le diagnostic | V:  La rythmicité est une caractéristique importante qui peut orienter le diagnostique vers l'ulcère duodénal ou l'ulcère gastrique |   Le pyrosis est le symptôme cardinal |   L'anamnèse ne nous donne pas d'informations pour le diagnostic | V:  L'examen radiologique baryté permet d'établir le diagnostic | V:  La douleur est le symptôme cardinal |   L'examen endoscopique n'est pas utile pour le diagnostic d'ulcère peptique
QCM || Question 108 :     La diarrhée : || V:  Le néoplasme du côlon peut être l'une des causes digestives | V:  L'examen coproparasitologique, coproculture, sont des investigations paracliniques obligatoires |   Les causes de la diarrhée sont uniquement d'origine digestive | V:  Elle représente l'élimination fréquente des selles non formées |   Les douleurs abdominales ne sont pas associées à un transit intestinal accéléré |   Le néoplasme du côlon est rarement associé aux troubles du transit | V:  Parmi les causes extra-digestives on trouve : causes nerveuses (émotionnelles), endocriniennes (maladie de Basedow) |   La perte de poids associée à un transit intestinal accéléré récemment établi n'est pas un symptôme alarmant |   L'endoscopie digestive haute est la méthode d'investigation du côlon | V:  Une méthode d'investigation en cas de diarrhée chronique est représentée par l'endoscopie digestive basse
QCM || Question 109 :     La constipation : || V:  La sensation de plénitude abdominale peut être associée à la constipation | V:  Représente l'évacuation retardée du contenu du gros intestin (plus de 48 heures) | V:  La constipation récemment établie avec des éléments pathologiques (mucus et sang) représente une urgence pour la réalisation d'une coloscopie |   Les douleurs abdominales sont rarement détectées lors de l'examen clinique objectif |   Des douleurs abdominales soulagées par la défécation suggère le diagnostique de néoplasme du colon |  La perte de poids, les saignements rectaux associés à la constipation ne sont pas des symptômes alarmants | V:  Des douleurs abdominales soulagées par la défécation plaident en faveur du diagnostic de syndrome du côlon irritable |   La constipation ne peut pas être la cause dʼune maladie hémorroïdale |   Représente l'évacuation rapide du contenu du gros intestin (moins de 12 heures) | V:  Les flatulences abdominales peuvent être associées à la constipation
QCM || Question 110 :     La palpation du foie : ||   La palpation se fait uniquement par la méthode monomanuelle | V:  Le médecin est placé à droite du patient |   La surface du foie est irrégulière dans un état normal | V:  Elle se fait par des méthodes monomanuelle et bimanuelle |   La position d'examen est en décubitus dorsal, les cuisses fléchies sur l'abdomen | V:  Au cours de cette manœuvre, le patient respire profondément | V:  Quand on palpe avec un seul main, le foie est frappé avec les doigts | V:  Les procédures monomanuelles sont représentées par : la procédure de Gilbert et la manoeuvre de Murphy |   Le médecin est placé à gauche du patient |   Normalement, seule la surface du lobe gauche du foie peut être palpée
QCM || Question 111 :     La percussion du foie : ||   L'augmentation de la matité du foie ne se produit pas dans l'hépatomégalie |   Le bord inférieur du foie est déterminé en percutant de haut en bas depuis le niveau de l'hypochondre gauche jusqu'au flanc et la fosse iliaque gauche | V:  La diminution de la matité du foie est constatée dans l'atrophie du foie produit dans la cirrhose du foie | V:  Elle est utilisée pour déterminer la limite supérieure du foie |   Elle n'est plus pratiquée en pratique clinique | V:  Elle constata un son matte | V:  Le bord supérieur du foie est situé sur la ligne parasternale et mamelonnaire dans l'espace intercostal V, sur la ligne axillaire antérieure au niveau de la côte VII et sur la ligne scapulaire au niveau de la côte X | V:  On peut détecter le déplacement vers le bas de la matité du foie en cas de lʼemphysème pulmonaire |   Elle est utilisée pour déterminer uniquement la limite inférieure du foie |   On frappe légèrement, du haut vers le bas sur la ligne parasternale, mamelonnaire, axillaire et scapulaire
QCM || Question 112 :     LʼAscite : ||   A l'examen clinique objectif le de liquide d'ascite ne peut jamais être détectée |   La percussion de l'abdomen n'apporte pas d'éléments diagnostiques |   Le syndrome néphrotique est la cause la plus fréquente de liquide d'ascite | V:  L'échographie abdominale montre un liquide d'ascite |   Seul le scanner abdominal peut mettre en évidence la présence de liquide d'ascite | V:  Le signe de la vague et la matité mobile sur les flancs mettent en évidence la présence de liquide d'ascite | V:  L'inspection révélera un abdomen élargi | V:  La cirrhose du foie est la cause la plus fréquente d'ascite |   Il est défini comme la présence de couleur jaune dans la peau et la sclérotique | V:  Elle est définie comme une accumulation de liquide libre dans la cavité péritonéale
QCM || Question 113 :     Lors de l'examen clinique dans la cirrhose du foie on peut retrouver : ||   Excavation de l'abdomen due à la présence de liquide d'ascite |   Zona Zoster | V:  Maladie de Dupuytren en cas d'étiologie alcoolique | V:  Angiomes stellaires, télangiectasies |   Cicatrices abdominales | V:  Hernies abdominales fréquemment associées à une ascite | V:  Ongles blancs, doigts d'Hippocrate |   Maladie de Dupuytren en cas d'étiologie virale |   Etat nutritionnel toujours normal | V:  Érythème palmaire, ecchymoses, purpura, hématomes
QCM || Question 114 :     Lors de l'inspection de l'abdomen : || V:  On peut observer l'élargissement de l'abdomen global ou partiel | V:  Sur la paroi abdominale on peut détecter des formations nodulaires (lipomes, métastases) | V:  On peut observer des cicatrices postopératoires |   Le patient est examiné en décubitus ventral |   La jaunisse n'est jamais présente sur la peau abdominale |   L'augmentation de volume de l'abdomen ne peut être que partielle - en cas de flatulence localisée |   En cas d'hernies et d'abcès, il est interdit de recommander au patient de tousser |   On peut observer la couleur de l'abdomen |   Les signes de Cullen et de Gray Turner sont spécifiques des coliques biliaires (non c’est dans les pancréatites) |   On peut observer des éruptions (zona, maladies infectieuses-contagieuses)
