QCM || Question 1 : Les facteurs susceptibles de limiter la biodisponibilité après une administration orale sont les suivants : || V:  forte liaison aux protéines plasmatiques | V:  la solubilité du médicament |  des ingrédients spéciaux qui contrôlent la vitesse de libération de l'agent thérapeutique afin de prolonger la durée d'action. |  petite taille des particules du médicament |  propriété du médicament d'être hautement lipophile | V:  l'instabilité chimique de la substance | V:  bioinactivation dans l'intestin ou au premier passage hépatique |  propriété du médicament d'être très hydrophile | V:  vidange rapide de l'estomac | destruction de la substance active du médicament par les protéases
QCM || Question 51 :   On peut dire que : ||   Le sulfaméthoxazole ouvre les canaux de sodium |   La lidocaïne ouvre les canaux de sodium | V:  La warfarine disloque la vitamine K de l'enzyme époxyde réductase | V:   Les antidépresseurs tricycliques inhibent la recapture de la sérotonine | V:	 Le sulfaméthoxazole agit comme un faux substrat | V:    Les sulfonamides hypoglycémiants bloquent les canaux potassiques |   La lidocaïne ouvre les canaux de chlorure |   La warfarine ouvre les canaux de sodium |  	La lidocaïne ouvre les canaux de potassium | V:  La warfarine exerce un effet anticoagulant en empêchant l'enzyme de générer la forme réduite de la vitamine K à partir de la forme époxyde de la vitamine K (la forme oxydée)
QCM || Question 52 :   On peut dire qu'il y a des médicaments qui: ||  V:  Inhibent l'activité enzymatique de la thymidine kinase | V:   Inhibent l'activité enzymatique de la cyclo-oxygénase (AINS) | V:   Inhibent l'activité enzymatique de l'acétylcholinestérase |   Stimulent l'activité enzymatique de la cyclo-oxygénase |	Stimulent l'activité enzymatique de la monoamine oxydase | V:	 Inhibent l'activité enzymatique de la monoamine oxydase | V:  Inhibent l'activité enzymatique de la HMG-CoA réductase (statines) |  Stimulent l'activité enzymatique de la thymidine kinase (Aciclovir?) |  Stimulent l'activité enzymatique de la HMG-CoA réductase |	Stimulent l'activité enzymatique de l'acétylcholinestérase
QCM || Question 53 :   On peut dire que : ||   Concernant la synergie de sommaire des médicaments, l’efficacité de l’association des médicaments est supérieure à celle de chacun des constituants pris séparément | V:  Concernant la synergie de potentialisation des médicaments, l’efficacité de l’association des médicaments est supérieure à celle de la somme des effets des constituants |  Concernant la synergie de potentialisation des médicaments, l’efficacité de l’association des médicaments est le même à celle de chacun des constituants pris séparément | V:  Concernant la synergie de sommaire des médicaments, l’efficacité de l’association des médicaments est le même à celle de chacun des constituants pris séparément |	Concernant la synergie de sommaire des médicaments, l’efficacité de l’association des médicaments est supérieure à celle de la somme des effets des constituants | V:	Il existe la synergie de sommaire, qui est la somme des effets de ces médicaments | V:   Concernant la synergie de sommaire des médicaments, l’efficacité de l’association des médicaments est le même à la somme des effets des constituants | V:  Il existe la synergie de potentialisation, ou l’effet est supérieur à la somme des effets de ces médicaments |  	Il existe la synergie de potentialisation, ou l’effet est inférieur à la somme des effets de ces médicaments |	Concernant la synergie de potentialisation des médicaments, l’efficacité de l’association des médicaments est inférieure à celle de chacun des constituants pris séparément
QCM || Question 54 :   On peut dire que sur les récepteurs nucléaires agit : ||   Sérotonine |  Acétylcholine | V:  Lévothyroxine | V:   Les hormones stéroïdes | V:	 Les hormones thyroïdiennes |	Insuline |  Dopamine | V:  Estradiol | V:  Testostérone |	Histamine
QCM || Question 55 :   On peut dire que sur les récepteurs de la membrane cellulaire agit : || V:  Acétylcholine | V:   Dopamine | V: Sérotonine |  Les hormones stéroïdes | V:	Histamine | V:	Insuline |  Testostérone |   Estradiol |  Les hormones thyroïdiennes |	Lévothyroxine
QCM || Question 56 :   On peut dire que: || V:  La tolérance se rapporte à une diminution lente de la réponse | V:   La tolérance est installée en quelques semaines |  La tolérance est installée en quelques secondes | V:  La tolérance est installée en quelques jours | V:  La tachyphylaxie se rapporte à une diminution rapide de la réponse | V:	La résistance au médicament est terme réservé à une absence dans les effets d'agents chimio-thérapeutiques |  La tolérance est installée en quelques minutes |  La résistance au médicament se rapporte à une diminution rapide de la réponse | 	La désensibilisation se rapporte à une diminution lente de la réponse |	La tachyphylaxie se rapporte à une diminution lente de la réponse
QCM || Question 57 :   On peut dire que la tolérance: || V:  peut impliquer une diminution de la réponse en quelques semaines | V:   peut impliquer des mécanismes homéostatiques qui diminuent graduellement l'effet du médicament |  peut impliquer une absence dans les effets d'agents chimio-thérapeutiques | V:  se rapporte à une diminution lente de la réponse |	peut impliquer une diminution de la réponse en quelques secondes | V:	 peut impliquer une diminution du nombre de récepteurs (downregulation) |  se rapporte à une diminution rapide de la réponse |  peut impliquer une diminution de la réponse en quelques minutes | V:  peut impliquer une augmentation du métabolisme du médicament |	peut impliquer augmentation du nombre de récepteurs (upregulation)
QCM || Question 58 :   On peut dire que les réactions de hypersensibilité de type I anaphylaxie peut être induit par: ||   Les anesthésiques locaux | V: Les céphalosporines  | V: Les pénicillines | V:  Les sulfamides | V:	Les produits de contrastes |  L'héparine | Le quinidine |  Le méthyldopa |  Le carbimazole | V:	L'amoxicilline
QCM || Question 59 :   On peut dire que les réactions de hypersensibilité de type II cytotoxiques peut être induit par: ||  Les produits de contrastes | V:  L'héparine | V:  Le méthyldopa  | L'amoxicilline  | V:  Le quinidine  |  Le phenytoine | V:  Les pénicillines |  Les anesthésiques locaux | 	Les thyazides | V:	Les sulfamides
QCM || Question 60 :   On peut dire que présent un faible indice thérapeutique: ||  V:   Les aminosides | V:   Les hypoglycémiants |    Les tétracyclines | Les céphalosporines  | V:  La digoxine	 | Les sulfamides	 | V: Les anticoagulants   |  Les pénicillines |	L'ampicilline | V:	Les antiarythmiques
QCM || Question 61 :   On peut dire que l'Amoxicilline: ||   est médicament de choix pour les infections à bactéries productrices des bêta-lactamases | V:  est active contre Escherichia coli |  est active contre les germes producteurs de pénicillinases |  est indiqué pour toxoplasmoses | V:	 diffuse plus facilement que la benzylpénicilline au travers de la membrane des bactéries à Gram négatif |  ne présente pas des effets systémiques |   peut détermine le syndrome de l'homme rouge | V:  est médicament de choix pour les infections à Gram négatif | V:  est mieux absorbée que l'ampicilline | V:	est active contre les bactéries a gram positif non productrices des bêta-lactamases
QCM || Question 62 :   On peut dire que l'Ampicilline: ||   est indiqué pour toxoplasmoses | V:  est médicament de choix pour les infections à Gram négatif | V:   est active contre Haemophilus influenzae |  est médicament de choix pour les infections à bactéries productrices des bêta-lactamases |  peut détermine le syndrome de l'homme rouge | V:	est moins absorbée que l'amoxicilline |  est mieux absorbée que l'amoxicilline | V:   diffuse plus facilement que la benzylpénicilline au travers de la membrane des bactéries à Gram négatif | V:  est active contre les bactéries à gram positif non productrices des bêta-lactamases |	ne présente pas des effets systémiques
QCM || Question 63 :   On peut dire que parmi les germes résistants à l'amoxicilline figure: ||  Les bactéries à gram positif non productrices des bêta-lactamases | V:   Jusqu'à 15% des souches d'Haemophilus influenzae |   Toutes les souches d'Haemophilus influenzae |  Toutes les souches d'Escherichia coti | V:	Toutes les souches de Mycoplasma pneumoniae |	Toutes les souches de staphylococcus |   Toutes les souches de Staphylococcus aureus | V:   Bactéries productrices des bêta-lactamases | V: 	50% des souches d'Escherichia coti | V:	 La plupart des Staphylococcus aureus
QCM || Question 64 :   On peut dire que parmi les germes résistants à l'ampicilline figure: ||   Toutes les souches d'Haemophilus influenzae | V:  La plupart des Staphylococcus aureus | V:   Bactéries productrices des bêta-lactamases |   Toutes les souches de staphylococcus | V:	 50% des souches d'Escherichia coti | V:    Jusqu'à 15% des souches d'Haemophilus influenzae |   Toutes les souches de Staphylococcus aureus |   Toutes les souches d'Escherichia coti | V:	 Toutes les souches de Mycobcterium tuberculosis | 	Les bactéries à gram positif non productrices des bêta-lactamases
QCM || Question 65 :   On peut dire que la benzylpénicilline: || V:   est active contre les bactéries a gram positif non productrices des bêta-lactamases | V:   diffuse plus facilement par la méninge enflammée |  est active contre toutes les souches de Staphylococcus aureus |  est active contre le Pseudomonas aeruginosa |	 est active contre les bactéries productrices des bêta-lactamases | V:	 est dégradée par l'acide gastrique | V:  doive être administrée par injection |  inhibe la synthèse des protéines bactériennes |  est active à l'administration per os | V: 	contient un noyau bêta lactame
QCM || Question 66 :   On peut dire que la phénoxymethylpénicilline: ||   inhibe la synthèse des protéines bactériennes |   est active contre toutes souches de Staphylococcus aureus | V:  contiens un noyau bêta lactame |   est active contre les bactéries productrices des bêta-lactamases | V:	 est active à l'administration per os |	est active contre le Pseudomonas aeruginosa |   est active contre la plupart des souches de Staphylococcus aureus |   doive être administrée par injection |  	est active contre les bactéries à gram positif productrices des bêta-lactamases | V:	 est résistance à l'action de l'acide gastrique
QCM || Question 67 :   On peut dire que la benzylpénicilline est efficace dans le traitement à: || V:   Méningocoques |   Chlamydia |   Mycobacterium tuberculosis |   Pseudomonas | V:	 Clostridium |	Ricketsia | V:  Leptospires | V:  Streptocoques | V:  Pneumocoques |  Mycoplasma
QCM || Question 68 :   On peut dire que activité anti-Pseudomonas on trouve pour: ||   Methycilline |  V:  Ticarcilline | V:  Meropenem | V:  Ceftazidime | 	phénoxyméthylpénicilline | V:  Pipéracilline |   Oxacilline |  benzylpénicilline |  	Flucloxacilline | V:  Gentamicine
QCM || Question 69 :   On peut dire que: ||  V:  L’antibioprophylaxie est obligatoire pour les patients avec des prothèses cardiaques valvulaires | V:   Co-trimoxazole est indiqué dans les toxoplasmoses |  Aztréonam inhibe la synthèse des protéines bactériennes |  Ticarcilline inhibe la synthèse des protéines bactériennes | Phénoxyméthylpénicilline a activité anti-Pseudomonas	|	Benzylpénicilline est indiqué dans les toxoplasmoses | V: Sulfadiazine est indiqué dans les toxoplasmoses | V:   Pyrimethamine est indiqué dans les toxoplasmoses |  Benzylpénicilline inhibe la synthèse des protéines bactériennes | V:  Les associations des chimiothérapeutiques permettent de retarder l’apparition de la résistance bactérienne
QCM || Question 70 :   On peut dire que: || V:  flucloxacilline est indiquée dans les infections dues à des staphylocoques producteurs de pénicillinase |  ampicilline est indiquée dans les toxoplasmoses |   benzylpénicilline a activité anti-Pseudomonas | V:  flucloxacilline est indiquée dans les infections résistant a la pénicilline | V:    flucloxacilline est une pénicilline semi-synthétique |	benzylpenicilline est indiqué dans les toxoplasmoses | V:  gentamicine a activité anti-Pseudomonas |  vancomycine inhibe la synthèse des protéines bactériennes | V:  amoxicilline est inactivée par les bactéries productrices des pénicillinases |	 teicoplanine inhibe la synthèse des protéines bactériennes
QCM || Question 71 :   On peut dire que: || V:  Ticarcilline a activité anti-Pseudomonas |   Teicoplanine est inhibiteur de la bêta-lactamase |  Carbenicilline inhibe la synthèse des protéines bactériennes |  Méropénem inhibe la synthèse des protéines bactériennes | V:	Meropenem a activité anti-Pseudomonas |	Pipéracilline inhibe la synthèse des protéines bactériennes | V: Pipéracilline a activité anti-Pseudomonas | V:   Acide clavulanique est inhibiteur de la bêta-lactamase |  Aztréonam est inhibiteur de la bêta-lactamase | V:	 Tazobactam est inhibiteur de la bêta-lactamase
QCM || Question 72 :   On peut dire que: || V:  flucloxacilline est résistant aux bactéries productrices des bêta-lactamases | V:   ampicilline este une pénicilline à large spectre | V:  amoxicilline este une pénicilline à large spectre |  benzylpenicillin est stable en milieu acide |	pipéracilline inhibe la fonction de la membrane cellulaire | V:  phénoxyméthylpénicilline présente un spectre antimicrobien similaire à benzylpénicilline | V: phénoxyméthylpénicilline est détruit par les bactéries productrices des bêta-lactamases |  benzylpénicilline inhibe la fonction de la membrane cellulaire |  ciprofloxacine inhibe la synthèse des protéines bactériennes par le couplage aux sous unités 30S |	les oxazolidinones inhibent la synthèse des protéines bactériennes par le couplage aux sous unités 30S
QCM || Question 73 :   On peut dire que les pénicillines: || V:   en concentrations élevées en cas d'insuffisance rénale produisent parfois une encéphalopathie qui peut être fatale | V:   en concentrations élevées en cas d'administration intrathécale produisent parfois une encéphalopathie qui peut être fatale | V:  une hypersensibilité constitue l'effet indésirable le plus important | V:   sont très peu toxiques |	doivent être administrés seulement par injection | 	présentent un indice thérapeutique étroit |   les plus importants est une atteinte du nerf crânien Vlll (ototoxicité) | les plus importants est une atteinte du nerf crânien Vlll |  ne sont pas absorbés per os | V: des réactions anaphylactiques qui sont fatales dans environ 10 % des cas
QCM || Question 74 :   On peut dire que les aminosides (aminoglycosides): ||  sont très peu toxiques |  en concentrations élevées en cas d'insuffisance rénale produisent parfois une encéphalopathie qui peut être fatale | V:  présentent un indice thérapeutique étroit | V:   les plus importants est une atteinte du nerf crânien Vlll | V:	 doivent être administrés seulement par injection |	 des réactions anaphylactiques qui sont fatales dans environ 10 % des cas |   en concentrations élevées en cas d'administration intrathécale produisent parfois une encéphalopathie qui peut être fatale |  une hypersensibilité constitue l'effet indésirable le plus important | V:  les plus importants est ototoxicité | V:    ne sont pas absorbés per os
QCM || Question 75 :   On peut dire que le méthotrexate: ||   est un inhibiteur de la synthèse des protéines bactériennes | V:  est médicament immunosuppresseur |  est rarement utilisée aujourd'hui dans le traitement des polyarthrites rhumatoïde | V:  est le plus utilisé en premier choix dans le traitement des polyarthrites rhumatoïde | V:   est utilisé dans le traitement du cancer |	est un inhibiteur de la fonction de la paroi cellulaire bactérienne |   est un inhibiteur de la synthèse de la paroi cellulaire bactérienne |   est un inhibiteur de la sous-unité ribosomique 50S | V:	est médicament antirhumatismal modificateur de la maladie (ARMM) | V:	est un antagoniste cytotoxique du folate
QCM || Question 76 :   On peut dire que la ciprofloxacine: || V:  est active contre le Pseudomonas aeruginosa |   n'est pas absorbés per os |  doit être administrés seulement par injection |   un inhibiteur de la synthèse de la paroi cellulaire bactérienne | V:	 est un médicament utilisé dans le traitement des infections du tractus urinaire | V:  dans de rares cas détermine d'altérations au niveau des tendons | V:  inhibe l'ADN gyrase bactérienne |  est dégradée par l'acide gastrique | 	inhibe l'ARN polymérase ADN-dépendante | V:	les effets indésirables sont peu fréquents
QCM || Question 77 :   On peut dire que la norfloxacine: ||  inhibe l'ARN polymérase ADN-dépendante |  un inhibiteur de la synthèse de la paroi cellulaire bactérienne |   un inhibiteur de la sous-unité ribosomique 50S |   un inhibiteur de la synthèse de la paroi cellulaire bactérienne | V:	 se concentre dans l'urine | V:	est un fluoroquinolone | V:  est un médicament de deuxième ligne dans le traitement des infections du tractus urinaire | V:   est active contre le Pseudomonas aeruginosa | 	les effets indésirables sont fréquents | V:  inhibe l'ADN gyrase bactérienne
QCM || Question 78 :   On peut dire que: || V:   Le traitement des infections chez les patients immunodéprimés nécessite toujours des agents bactéricides |   Le traitement des infections chez les patients sous corticostéroïdes nécessite toujours des agents bactériostatiques | V:  Les agents bactéricides tuent les organismes bactériens | V:   Pseudomonas aeruginosa a toujours été résistant à la flucloxacilline | V:	 Les agents bactériostatiques inhibent la croissance des organismes bactériens | V:   Le traitement des infections chez les patients sous corticostéroïdes nécessite toujours des agents bactéricides |   Les agents bactéricides inhibent la croissance des organismes bactériens |   Le traitement des infections chez les patients sous chimiothérapie anticancéreuse nécessite toujours des agents bactériostatiques |	 Le traitement des infections chez les patients immunodéprimés nécessite toujours des agents bactériostatiques |  Les agents bactériostatiques tuent les organismes bactériens
QCM || Question 79 :   On peut dire que les effets indésirables des sulfamides: || V:  diverses dyscrasies sanguines peuvent être induites | V:  anémie hémolytique est chez les patients qui présentent un déficit en glucose-6-phosphate déshydrogénase | V:  les réactions indésirables plus sérieuses sont moins fréquentes |  les plus importants est ototoxicité |  peut détermine le syndrome de l'homme rouge |	 les plus importants est une atteinte du nerf crânien Vlll | V:  le syndrome de Stevens-Johnson est moins fréquent |   dans de rares cas sont d'altérations au niveau des tendons | V: 	les plus courants sont les réactions allergiques |	peut modifier la coloration des dents chez les jeunes
QCM || Question 80 :   On peut dire que parmi les agents antibactériennes avec spectre large est: ||  Flucloxacilline | V:  Méropenem |  Acide fusidique |   Benzylpénicilline |	Procainpénicilline | V:	 Ampicilline |  Phénoxyméthylpénicilline | V:  Tétracycline | V: 	Amoxicilline | V:  Métronidazole
QCM || Question 81 :   On peut dire que: ||  Le syndrome de l'homme rouge est un effet indésirable aux benzylpénicillin | V:  L'aplasie médullaire est un effet indésirable aux chloramphénicole |   Cyprofloxacin inhibe la synthèse des protéines bactériennes par le couplage aux sous unités 30S | V:  La néphrotoxicité est un effet indésirable aux glycopeptides |	 Les oxazolidinones inhibent la synthèse des protéines bactériennes par le couplage aux sous unités 30S |  V:	 Vancomycin peut détermine le syndrome de l'homme rouge |  Benzylpénicillin est stable en milieu acide |  L'aplasie médullaire est un effet indésirable aux benzylpénicillin | V:  La néphrotoxicité est un effet indésirable aux aminosides | V:  La néphrotoxicité est un effet indésirable commun aux glycopeptides et aminosides
QCM || Question 82 :   On peut dire que Ciprofloxacine:  ||   est indiqué pour toxoplasmoses | V:   dans de rares cas sont d'altérations au niveau des tendons | V:  peut détermine d'altérations au niveau de tendons |  les plus importants est une atteinte du nerf crânien Vlll |	 peut modifier la coloration des dents chez les jeunes | V:	 est utilisée dans les infections avec Pseudomonas | V:  inhibe la synthèse des acides nucléiques |  peut détermine le syndrome de l'homme rouge | 	peut détermine l'aplasie médullaire | V:	 ne présente pas effet systémique
QCM || Question 83 :   On peut dire que: || V:  Pyrimethamine est indiqué dans les toxoplasmoses | V:   Le mécanisme d’action de triméthoprime est inhibition de la dihydrofolate réductase | V:   Norfloxacin ne présente pas des effets systémiques |   Pipéracilline inhibe la synthèse des protéines bactériennes |	 Tazobactam est inhibiteur de la dihydrofolate réductase |	Phénoxyméthylpénicilline peut détermine le syndrome de l'homme rouge | V:  Benzylpénicilline est active contre les bactéries à gram positif non productrices des beta-lactamases | V:  Vancomycin peut détermine le syndrome de l'homme rouge | 	Acide clavulanique est inhibiteur de la dihydrofolate réductase |	Le mécanisme d’action de sulfamethoxazole est inhibition de la dihydrofolate réductase
QCM || Question 84 :   On peut dire que Chloramphénicol: ||   est indiqué pour toxoplasmoses |   inhibe la synthèse des acides nucléiques | V:  peut détermine l'aplasie médullaire | V:   peut détermine une névrite périphérique | V:	 peut détermine une névrite optique |	 peut détermine d'altérations au niveau de tendons | V:  inhibe la synthèse des protéines bactériennes |  peut détermine le syndrome de l'homme rouge |  ne présente pas effet systémique | V:   peut détermine une diminution réversible (dose-dépendante) des globules rouges et blancs
QCM || Question 85 :   On peut dire que Chloramphénicol: ||  dans de rares cas sont d'altérations au niveau des tendons |  les plus importants est une atteinte du nerf crânien Vlll |   peut modifier la coloration des dents chez les jeunes | V:  l'utilisation est limitée en raison d'une anémie aplasique | V:  est actuellement réservé au traitement des méningites a Haemophilus influenzae | empêche le N-formylméthionyI-ARN de se lier au ribosome 70S. |  est inhibiteur de la dihydrofolate réductase | V:  l'utilisation est limitée en raison de ses effets secondaires sévères | V:  est actuellement réservé au traitement de la fièvre typhoïde | V:	est efficace contre une grande variété d'organismes
QCM || Question 86 :   On peut dire que l'absorption de la tétracycline: || V:  est diminuée par les ions calcium |  est augmentée par des préparations contenant du fer |  est augmentée par le lait | V:  est diminuée par le lait | est augmentée par les ions calcium | est augmentée par les antiacides |  est augmentée par les ions magnésium | V:  est diminuée par les ions magnésium | V:      est diminuée par des préparations contenant du fer | V:  est diminuée par les antiacides
QCM || Question 87 :   On peut dire que la tétracycline est le traitement de choix de: ||   infections à Staphylococcus aureus |   infections à SARM |   infections à toxoplasma | V:  infections à Mycoplasme | V:  infections à Borrelia burgdorferi | V:	 infections à Chlamydia |  infections à Mycobacterium tuberculosis | V:  infections à rickettsia | V: 	certaines infections intracellulaires |	infections à Pseudomonas aeruginosa
QCM || Question 88 :   On peut dire que: ||   L'hydroxychloroquine est utilisé dans le traitement du cancer | V:  L'hypertension est l'effet indésirable de la ciclosporine |  Le pénicillamine le plus utilisé en premier choix dans le traitement des polyarthrites rhumatoïde |  L'aurothiomalate de sodium est utilisé dans le traitement du cancer | L'aurothiomalate de sodium le plus utilisé en premier choix dans le traitement des polyarthrites rhumatoïde | V:  Le méthotrexate est utilisé dans le traitement du des polyarthrites rhumatoïde | V:   Le méthotrexate est utilisé dans le traitement du cancer | V:  L'hépatotoxycité est l'effet indésirable de la ciclosporine | V:   La néphrotoxicité constitue l'effet indésirable le plus important de la ciclosporine | Le pénicillamine est utilisé dans le traitement du cancer
QCM || Question 89 :   On peut dire qu'inhibe la synthèse des protéines bactériennes : ||   Meropenem |  V:  Nétilmycine | V:   Minocycline | Ticarcilline  | V:  Tigécycline | V:   Néomycine |  Flucloxacilline |  Ceftriaxone | 	Oxacilline | V:	 Streptomycine
QCM || Question 90 :   On peut dire qu'inhibe la synthèse des protéines bactériennes : ||  V:   Érythromycine | V:  Tétracycline |   Sulfaméthoxazole |  V:   Gentamycine | V:  Chloramphénicol | V:	Linézolide |   Ampicilline |   Pénicilline G | 	Ciprofloxacine |	Rifampicine
QCM || Question 91 :   On peut dire qu'inhibe la synthèse des protéines bactériennes : ||  V:  Tobramycine | V:   Clarithromycine | V:  Azithromycine |   Aztréonam |	Pipéracilline | V:  Doxycycline |   Méthycilline |  Méropénem | V: 	Amikacine |	 Vancomycine
QCM || Question 92 :   On peut dire qu'inhibe la synthèse de la paroi cellulaire bactérienne : ||   Linézolide | V:   Vancomycine | V:   Pénicilline G |  Rifampicine |	 Ciprofloxacine | V:  Cefuroxime |   Sulfaméthoxazole | V:  Ampicilline |  	Érythromycine | V:  Méropénem
QCM || Question 93 :   On peut dire que sont de group beta-lactames : ||   Chloramphénicol |   Tétracycline |   Gentamycine | V: Vancomycine  | V:  Ampicilline |  Linézolide |   Érythromycine |  V:  Pénicilline G | V:   Méthycilline | V:  Pipéracilline
QCM || Question 94 :   On peut dire que sont de group beta-lactames : || V:   Cefuroxime |   Ciprofloxacine | V:   Aztréonam |   Sulfaméthoxazole | 	Clarithromycine | 	Doxycycline | V:   Ceftazidime | V:   Méropénem |  V: 	Ceftriaxone |  Rifampicine
QCM || Question 95 :   On peut dire que sont de group pénicillines : || V:   Amoxicilline | V:   Méthycilline | V:   Ampicilline |  V:   Benzylpénicilline |  Clarithromycine | V:	Pipéracilline |   Méropénem | Aztréonam  |  	Vancomycine |	 Cefuroxime
QCM || Question 96 :   On peut dire que sont de group aminoglycosides (aminosides) : || V:   Tobramycine | V:   Streptomycine | V:   Gentamycine |   Rifampicine | Clarithromycine	 |  Sulfaméthoxazole |   Doxycycline  | V:  Amikacycine | 	Ciprofloxacine | V:	 Néomycine
QCM || Question 97 :   On peut dire qu'inhibe la sous-unité ribosomique 50S : ||   Tobramycine | V:   Chloramphénicol | V:   Azithromycine |   Gentamycine |  Amikacycine | V:  Clarithromycine |   Doxycycline | V:   Acide fusidique | V:   Érythromycine |	Tétracycline
QCM || Question 98 :   On peut dire qu'inhibe la sous-unité ribosomique 30S : ||   Acide fusidique | V:   Tétracycline | V:   Amikacycine |   Clarithromycine | V:  Doxycycline | V:	Gentamycine |   Chloramphénicol |   Érythromycine | V: 	Tobramycine | Azithromycine	
QCM || Question 99 :   ||   Ciprofloxacine | V: Tobramycine   | V:   Néomycine | Doxycycline   | V:  Amikacycine	 |  Rifampicine | Sulfaméthoxazole   |   Clarithromycine | V: 	Streptomycine | V:	Gentamycine
QCM || Question 100 :       On peut choisir pour le traitement des infections fongiques: || V:   Itraconazole |   Zanamivir |   Zidovudine | V:   Terbinafine | Aciclovir | V:  Flucytosine |   Interferon |   Oseltamivir | V:   Ketoconazole | V:	Miconazole
QCM || Question 101 :    On peut choisir pour le traitement des infections virales: ||   Flucytosine |   Ketoconazole |   Itraconazole | V:   Interferon | V:	 Oseltamivir  | V: 	Aciclovir |   Terbinafine |   Miconazole | V:  	Zanamivir | V:  Zidovudine
QCM || Question 102 :    On peut choisir pour le traitement des infections avec les parasites helminthes : || V:   Tiabendazole | V:   Benzimidazoles |   Aciclovir | V:  Albendazole | Interferon  | 	Miconazole |   Ketoconazole | V:   Mebendazole | V:  Ivermectine	 |  Flucytosine
QCM || Question 103 :    On peut choisir pour le traitement des infections avec les protozoaires: || V:   Tinidazole | V:  Quinine |    Metotrexate |   Trastuzumab | V:  Cotrimoxazole | Tamoxifen	 |   Doxorubicine | V:  Chloroquine |  	Cyclofosfamide | V:  Metronidazole
QCM || Question 104 :    On peut choisir pour le traitement de la maladie cancéreuse: ||   Miconazole | V:   Metotrexate | V:   Doxorubicine |   Quinine | Aciclovir	 |	Cotrimoxazole |   Ketoconazole | V:  Trastuzumab | V:  	Tamoxifen | V:  Cyclofosfamide
QCM || Question 105 :    On peut choisir les immunosuppresseurs parmi les groupes des médicaments suivants: ||   Inhibiteurs non nucléotidiques de la transcriptase inverse de virus | V:    Inhibiteurs de la calcineurine | V:   Anti-cytokines |   Schizonticides |	Inhibiteurs nucléotidiques de la transcriptase inverse de virus | V: 	Médicaments antiprolifératifs |   Inhibiteurs de l'intégrase | V:   Corticostéroïdes |  	Inhibiteurs de protéases | V:	Anticorps monoclonaux
QCM || Question 106 :    On peut choisir les groupes des médicaments anti-VIH parmi les groupes des médicaments suivants: ||   Inhibiteurs de la calcineurine |   Corticostéroïdes | V:   Inhibiteurs nucléotidiques de la transcriptase inverse de virus |   Schizonticides |	Anticorps monoclonaux |	Médicaments antiprolifératifs | V:   Inhibiteurs de l'intégrase | V:   Inhibiteurs non nucléotidiques de la transcriptase inverse de virus | V: 	Inhibiteurs de fusion | V:    Inhibiteurs de protéases
QCM || Question 107 :    On peut choisir les médicaments antirhumatismaux modificateurs de la maladie (ARMM): ||  V:  Aurothiomalate de sodium | V:   Hydroxychloroquine |   Azathioprine |   Mycofenolate mofetil | 	Miconazole | Tacrolimus | V:   Méthotrexate | V:   Penicillamine | V: 	Sulfasalazine |    Cyclosporine
QCM || Question 108 :    On peut choisir pour le traitement des infections avec Candida: ||   Zanamivir |   Zidovudine | V:   Miconazole | V:   Itraconazole |  Aciclovir | V:  Econazole | V:   Fluconazole | V:   Clotrimazole |  	Interferon |  Oseltamivir
QCM || Question 109 :    On peut choisir les dérivés imidazoles: ||   Métronidazole   | V: Ketoconazole | V:  Terbinafine | Itraconazole   | V:  Econazole	 | V:   Miconazole | Posaconazole   | V:   Voriconazole | V:  Clotrimazole |  Fluconazole
QCM || Question 110 :    On peut choisir les inhibiteurs de la synthèse des acides nucléiques viraux: || V:   Enfuvirtide |    Oseltamivir |   Zanamivir | V:   Valaciclovir |	 Interferon alpha | V:  Acyclovir | V:   Nevirapine |   Terbinafine | V: 	Ganciclovir | 	Zidovudine
QCM || Question 111 :   On peut choisir les inhibiteurs de la synthèse d'ADN ou d'ARN: || V:   Rifampicine | V:   Ganciclovir | V:   Acyclovir |   Oseltamivir | V:	 Valaciclovir |	 Érythromycine | V:   Ciprofloxacine |   Terbinafine |  	Gentamicine |    Zanamivir
QCM || Question 112 :    On peut dire que: || V:  Ciprofloxacine inhibe l'ADN gyrase bactérienne |   Acyclovir inhibe l'ADN gyrase | V:  Ganciclovir inhibe l'ADN polymérase virale | V:   Valaciclovir inhibe l'ADN polymérase virale |  Acyclovir inhibe l'ARN polymérase ADN-dépendante | V:	 Rifampicine inhibe l'ARN polymérase ADN-dépendante |   Zanamivir inhibe l'ADN gyrase |   Oseltamivir inhibe l'ADN gyrase |  	Acyclovir inhibe la neuraminidase | V:  Acyclovir inhibe l'ADN polymérase virale
QCM || Question 113 :    On peut dire que: ||   Valaciclovir est active contre les virus de l'herpès et il les éradique |    Ganciclovir est active contre les virus de l'herpès et il les éradique | V:   Acyclovir est active contre les virus de l'herpès, mais il ne les éradique pas | V:   Rifampicine est active contre le Mycobacterium tuberculosis | V:	 Ganciclovir est active contre les virus de l'herpès, mais il ne les éradique pas |    Acyclovir est active contre les virus de l'hépatite B |   Acyclovir est active contre les virus de l'influenza | V:   Valaciclovir est active contre les virus de l'herpès, mais il ne les éradique pas |  	Acyclovir est active contre les virus de l'herpès et il les éradique | V:	Streptomycine est active contre le Mycobacterium tuberculosis
